tweet_id,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,date,breed,predict_conf,dog
892420643555336193,13.0,10,Phineas,,8853.0,39467.0,2017-08-01,orange,0.0970486,False
892177421306343426,13.0,10,Tilly,,6514.0,33819.0,2017-08-01,Chihuahua,0.323581,True
891815181378084864,12.0,10,Archie,,4328.0,25461.0,2017-07-31,Chihuahua,0.716012,True
891689557279858688,13.0,10,Darla,,8964.0,42908.0,2017-07-30,paper_towel,0.1702779999999999,False
891327558926688256,12.0,10,Franklin,,9774.0,41048.0,2017-07-29,basset,0.555712,True
891087950875897856,13.0,10,,,3261.0,20562.0,2017-07-29,Chesapeake_Bay_retriever,0.425595,True
890971913173991426,13.0,10,Jax,,2158.0,12041.0,2017-07-28,Appenzeller,0.341703,True
890729181411237888,13.0,10,,,16716.0,56848.0,2017-07-28,Pomeranian,0.566142,True
890609185150312448,13.0,10,Zoey,,4429.0,28226.0,2017-07-27,Irish_terrier,0.4875739999999999,True
890240255349198849,14.0,10,Cassie,doggo,7711.0,32467.0,2017-07-26,Pembroke,0.511319,True
890240255349198849,14.0,10,Cassie,,7711.0,32467.0,2017-07-26,Pembroke,0.511319,True
890006608113172480,13.0,10,Koda,,7624.0,31166.0,2017-07-26,Samoyed,0.957979,True
889880896479866881,13.0,10,Bruno,,5156.0,28268.0,2017-07-25,French_bulldog,0.377417,True
889665388333682689,13.0,10,,,8538.0,38818.0,2017-07-25,Pembroke,0.966327,True
889665388333682689,13.0,10,,puppo,8538.0,38818.0,2017-07-25,Pembroke,0.966327,True
889638837579907072,12.0,10,Ted,,4735.0,27672.0,2017-07-25,French_bulldog,0.99165,True
889531135344209921,13.0,10,Stuart,,2321.0,15359.0,2017-07-24,golden_retriever,0.953442,True
889531135344209921,13.0,10,Stuart,puppo,2321.0,15359.0,2017-07-24,golden_retriever,0.953442,True
889278841981685760,13.0,10,Oliver,,5637.0,25652.0,2017-07-24,whippet,0.626152,True
888917238123831296,12.0,10,Jim,,4709.0,29611.0,2017-07-23,golden_retriever,0.714719,True
888804989199671297,13.0,10,Zeke,,4559.0,26080.0,2017-07-22,golden_retriever,0.46976,True
888554962724278272,13.0,10,Ralphus,,3732.0,20290.0,2017-07-22,Siberian_husky,0.700377,True
888078434458587136,12.0,10,Gerald,,3653.0,22201.0,2017-07-20,French_bulldog,0.995026,True
887705289381826560,13.0,10,Jeffrey,,5609.0,30779.0,2017-07-19,basset,0.821664,True
887517139158093824,14.0,10,such,,12082.0,46959.0,2017-07-19,limousine,0.130432,False
887473957103951883,13.0,10,Canela,,18781.0,69871.0,2017-07-19,Pembroke,0.809197,True
887343217045368832,13.0,10,,,10737.0,34222.0,2017-07-18,Mexican_hairless,0.330741,True
887101392804085760,12.0,10,,,6167.0,31061.0,2017-07-18,Samoyed,0.733942,True
886983233522544640,13.0,10,Maya,,8084.0,35859.0,2017-07-17,Chihuahua,0.793469,True
886736880519319552,13.0,10,Mingus,,3443.0,12306.0,2017-07-16,kuvasz,0.309706,True
886680336477933568,13.0,10,Derek,,4610.0,22798.0,2017-07-16,convertible,0.738995,False
886366144734445568,12.0,10,Roscoe,,3316.0,21524.0,2017-07-15,French_bulldog,0.999201,True
886366144734445568,12.0,10,Roscoe,pupper,3316.0,21524.0,2017-07-15,French_bulldog,0.999201,True
886258384151887873,13.0,10,Waffles,,6523.0,28469.0,2017-07-15,pug,0.943575,True
885984800019947520,12.0,10,Jimbo,,7097.0,33382.0,2017-07-14,Blenheim_spaniel,0.972494,True
885528943205470208,13.0,10,Maisey,,6683.0,36689.0,2017-07-13,pug,0.369275,True
885167619883638784,13.0,10,,,4556.0,22367.0,2017-07-12,malamute,0.8124819999999999,True
884925521741709313,12.0,10,Earl,,16439.0,68152.0,2017-07-12,Italian_greyhound,0.259916,True
884876753390489601,13.0,10,Lola,,6096.0,28514.0,2017-07-11,chow,0.822103,True
884562892145688576,13.0,10,Kevin,,5100.0,24765.0,2017-07-11,pug,0.5464060000000001,True
884441805382717440,14.0,10,,,5856.0,27478.0,2017-07-10,Pembroke,0.993225,True
884162670584377345,12.0,10,Yogi,doggo,3128.0,20771.0,2017-07-09,German_shepherd,0.707046,True
884162670584377345,12.0,10,Yogi,,3128.0,20771.0,2017-07-09,German_shepherd,0.707046,True
883838122936631299,12.0,10,Noah,,3586.0,22349.0,2017-07-09,Doberman,0.610946,True
883482846933004288,5.0,10,Bella,,10407.0,46860.0,2017-07-08,golden_retriever,0.943082,True
883360690899218434,13.0,10,Grizzwald,,3825.0,22986.0,2017-07-07,chow,0.987997,True
883360690899218434,13.0,10,Grizzwald,floofer,3825.0,22986.0,2017-07-07,chow,0.987997,True
883117836046086144,13.0,10,,,6949.0,37914.0,2017-07-07,golden_retriever,0.949562,True
882992080364220416,13.0,10,Rusty,,4122.0,24445.0,2017-07-06,Eskimo_dog,0.4667779999999999,True
882762694511734784,12.0,10,Gus,,5134.0,28903.0,2017-07-06,Labrador_retriever,0.85005,True
882762694511734784,12.0,10,Gus,pupper,5134.0,28903.0,2017-07-06,Labrador_retriever,0.85005,True
882627270321602560,13.0,10,Stanley,,6342.0,28382.0,2017-07-05,Pembroke,0.542982,True
882268110199369728,13.0,10,Alfy,,12118.0,45880.0,2017-07-04,golden_retriever,0.762211,True
882045870035918850,13.0,10,Koko,,5203.0,29900.0,2017-07-04,web_site,0.949591,False
881906580714921986,12.0,10,Rey,,3533.0,24773.0,2017-07-03,Weimaraner,0.291539,True
881666595344535552,13.0,10,Gary,,11099.0,51522.0,2017-07-03,Saluki,0.529012,True
881536004380872706,14.0,10,a,,16570.0,50199.0,2017-07-02,Samoyed,0.281463,True
881536004380872706,14.0,10,a,pupper,16570.0,50199.0,2017-07-02,Samoyed,0.281463,True
881268444196462592,12.0,10,Elliot,,5358.0,23501.0,2017-07-01,tusker,0.473303,False
